%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%%% The following file was edited by Jessie Anker 
%%% to remove all instances with missing data.
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%

%
% 1. Title: MAGIC gamma telescope data 2004
% 
% 2. Sources:
%      
%   (a) Original owner of the database:
%       R. K. Bock
%       Major Atmospheric Gamma Imaging Cherenkov Telescope project (MAGIC)
%       http://wwwmagic.mppmu.mpg.de
%       rkb@mail.cern.ch
%
%   (b) Donor:
%       P. Savicky
%       Institute of Computer Science, AS of CR
%       Czech Republic
%       savicky@cs.cas.cz
%
%   (c) Date received: November 2020
% 
% 3. Past Usage:
%  (a) Bock, R.K., Chilingarian, A., Gaug, M., Hakl, F., Hengstebeck, T.,
%       Jirina, M., Klaschka, J., Kotrc, E., Savicky, P., Towers, S.,
%       Vaicilius, A., Wittek W. (2004).
%       Methods for multidimensional event classification: a case study
%       using images from a Cherenkov gamma-ray telescope.
%       Nucl.Instr.Meth. A, 516, pp. 511-528.
%
%   (b) P. Savicky, E. Kotrc.
%       Experimental Study of Leaf Confidences for Random Forest.
%       Proceedings of COMPSTAT 2004, In: Computational Statistics.
%       (Ed.: Antoch J.) - Heidelberg, Physica Verlag 2004, pp. 1767-1774.
%
%   (c) J. Dvorak, P. Savicky.
%       Softening Splits in Decision Trees Using Simulated Annealing.
%       Proceedings of ICANNGA 2007, Warsaw, (Ed.: Beliczynski et. al),
%       Part I, LNCS 4431, pp. 721-729.
%
% 
% 4. Relevant Information Paragraph:
%   The data are MC generated (see below) to simulate registration of high energy
%   gamma particles in a ground-based atmospheric Cherenkov gamma telescope using the
%   imaging technique. Cherenkov gamma telescope observes high energy gamma rays,
%   taking advantage of the radiation emitted by charged particles produced
%   inside the electromagnetic showers initiated by the gammas, and developing in the
%   atmosphere. This Cherenkov radiation (of visible to UV wavelengths) leaks
%   through the atmosphere and gets recorded in the detector, allowing reconstruction
%   of the shower parameters. The available information consists of pulses left by
%   the incoming Cherenkov photons on the photomultiplier tubes, arranged in a
%   plane, the camera. Depending on the energy of the primary gamma, a total of
%   few hundreds to some 10000 Cherenkov photons get collected, in patterns
%   (called the shower image), allowing to discriminate statistically those
%   caused by primary gammas (signal) from the images of hadronic showers
%   initiated by cosmic rays in the upper atmosphere (background).
%
%   Typically, the image of a shower after some pre-processing is an elongated
%   cluster. Its long axis is oriented towards the camera center if the shower axis
%   is parallel to the telescope's optical axis, i.e. if the telescope axis is
%   directed towards a point source. A principal component analysis is performed
%   in the camera plane, which results in a correlation axis and defines an ellipse.
%   If the depositions were distributed as a bivariate Gaussian, this would be
%   an equidensity ellipse. The characteristic parameters of this ellipse
%   (often called Hillas parameters) are among the image parameters that can be
%   used for discrimination. The energy depositions are typically asymmetric
%   along the major axis, and this asymmetry can also be used in discrimination.
%   There are, in addition, further discriminating characteristics, like the
%   extent of the cluster in the image plane, or the total sum of depositions.
%
%   The data set was generated by a Monte Carlo program, Corsika, described in 
%   D. Heck et al., CORSIKA, A Monte Carlo code to simulate extensive air showers,
%   Forschungszentrum Karlsruhe FZKA 6019 (1998).
%   The program was run with parameters allowing to observe events with energies down
%   to below 50 GeV.
%
% 
% 5. Number of Instances: 19020
% 
% 6. Number of Attributes:  11 (including the class)
% 
% 7. Attribute Information: 
%  
%    1.  fLength:  continuous  # major axis of ellipse [mm]
%    2.  fWidth:   continuous  # minor axis of ellipse [mm] 
%    3.  fSize:    continuous  # 10-log of sum of content of all pixels [in #phot]
%    4.  fConc:    continuous  # ratio of sum of two highest pixels over fSize  [ratio]
%    5.  fConc1:   continuous  # ratio of highest pixel over fSize  [ratio]
%    6.  fAsym:    continuous  # distance from highest pixel to center, projected onto major axis [mm]
%    7.  fM3Long:  continuous  # 3rd root of third moment along major axis  [mm] 
%    8.  fM3Trans: continuous  # 3rd root of third moment along minor axis  [mm]
%    9.  fAlpha:   continuous  # angle of major axis with vector to origin [deg]
%   10.  fDist:    continuous  # distance from origin to center of ellipse [mm]
%   11.  class:    g,h         # gamma (signal), hadron (background)	
%
% 8. Missing Attribute Values: None
%
% 9. Class Distribution:
%
%   g = gamma (signal):     12332
%   h = hadron (background): 6688
%
%   For technical reasons, the number of h events is underestimated.
%   In the real data, the h class represents the majority of the events.
%
%   The simple classification accuracy is not meaningful for this data, since
%   classifying a background event as signal is worse than classifying a signal
%   event as background. For comparison of different classifiers an ROC curve
%   has to be used. The relevant points on this curve are those, where the
%   probability of accepting a background event as signal is below one of the
%   following thresholds: 0.01, 0.02, 0.05, 0.1, 0.2 depending on the required
%   quality of the sample of the accepted events for different experiments.


@RELATION MAGIC

@ATTRIBUTE fLength	continuous   
@ATTRIBUTE fWidth	continuous
@ATTRIBUTE fSize	continuous 
@ATTRIBUTE fConc	continuous
@ATTRIBUTE fConc1	continuous
@ATTRIBUTE fAsym	continuous
@ATTRIBUTE fM3Long	continuous
@ATTRIBUTE fM3Trans	continuous
@ATTRIBUTE fAlpha	continuous
@ATTRIBUTE fDist	continuous
@ATTRIBUTE class	{g,h}


@DATA
44.0846,23.0143,2.8974,0.1963,0.0994,25.9525,-35.1309,19.3011,16.119,210.596,g
65.3574,22.3483,2.7376,0.2855,0.1601,-89.2907,-31.2444,-19.7587,4.874,272.68,g
43.7724,20.353,2.8982,0.2743,0.141,32.9358,38.4208,11.1037,16.25,273.837,g
33.4858,15.0766,2.7969,0.3623,0.1891,33.3189,19.1818,-6.8774,12.9506,169.066,g
92.8723,25.685,3.1553,0.242,0.1619,-25.5033,51.797,-19.0013,7.7301,304.585,g
19.6562,9.7376,2.238,0.578,0.3266,-24.0292,-9.836,-2.8001,63.03,118.341,g
96.8578,39.4755,3.9903,0.1204,0.0679,-59.0369,66.0291,-26.431,3.8107,340.996,g
95.5207,34.5134,4.1295,0.1005,0.0543,21.1988,88.912,-15.3593,0.084,260.879,g
22.7945,14.8676,2.567,0.5203,0.294,-8.7481,-20.3785,12.765,6.7835,110.258,g
66.7336,24.94,3.4357,0.1683,0.0889,27.3604,67.0539,-7.3935,9.941,223.912,g
45.0172,18.4512,2.699,0.284,0.167,-10.746,-37.5851,-13.6786,8.718,178.647,g
99.6416,13.5477,2.4362,0.3846,0.1996,48.7119,92.2613,7.7025,74.5664,57.7231,g
20.8112,7.1717,2.1255,0.7041,0.3558,-1.5465,8.9641,-6.0245,85.103,235.951,g
96.3755,31.3902,3.359,0.2179,0.1376,-34.801,61.0636,20.5479,9.782,307.321,g
30.3331,14.9817,2.4526,0.4762,0.2416,-32.2094,-20.1641,-5.1006,0.9075,74.5242,g
20.9491,7.0366,2.1414,0.7292,0.3935,-22.9802,-12.1656,6.0883,40.656,146.512,g
49.6143,28.1482,3.2641,0.1769,0.089,44.0893,26.0127,22.939,0.67,150.761,g
26.9766,9.7238,2.3064,0.4593,0.2395,-12.3167,16.287,1.6476,3.675,197.338,g
29.817,19.8364,2.7372,0.3718,0.239,10.0066,23.9409,15.0702,15.9328,222.184,g
23.0242,13.2275,2.2188,0.4471,0.2326,-25.6063,-10.429,5.5499,33.4008,210.819,g
66.1331,25.9259,3.1984,0.1495,0.075,42.2957,50.5528,-12.7104,11.5159,160.519,g
34.9502,16.0121,3.0663,0.297,0.1644,-12.5192,11.1413,-7.5776,17.6684,201.404,g
23.6353,11.4736,2.4661,0.6291,0.4085,-15.6487,-18.8315,-9.9017,43.565,194.384,g
20.4754,15.7636,2.4425,0.4116,0.2148,2.48,-10.4986,-3.923,13.8089,55.4986,g
59.7337,17.0227,2.7997,0.2966,0.1895,51.0255,54.5868,-14.0979,5.094,217.856,g
22.6397,10.2608,2.1492,0.5603,0.3156,23.4366,18.6537,-10.8294,14.3756,251.28,g
92.937,22.1354,3.0885,0.3108,0.1937,18.6509,48.5227,14.2821,3.497,358.99,g
86.5636,36.8235,3.8026,0.1508,0.0809,-24.0564,60.9768,26.1668,2.643,306.55,g
39.3737,12.0817,2.7763,0.3213,0.1615,18.1724,13.6391,6.5266,3.7449,201.01,g
41.2629,20.9786,3.1361,0.2807,0.1626,23.2559,43.3331,12.715,7.6147,219.077,g
89.8648,33.6384,3.8899,0.1487,0.0805,22.0971,98.5182,14.069,3.689,158.618,g
24.999,17.775,2.5993,0.4327,0.2453,-16.3719,-25.5307,14.8483,81.8671,120.263,g
19.5793,14.6976,2.2934,0.514,0.2824,-6.8054,17.3916,-4.9889,13.17,130.918,g
21.8344,6.832,2.1804,0.7063,0.3531,25.981,-0.1704,6.6103,35.4993,95.7374,g
87.5837,33.3742,3.9208,0.125,0.0667,99.2131,75.0174,-14.3854,2.428,255.315,g
53.7339,15.4395,2.4298,0.4572,0.2955,-45.8108,-40.3603,-9.3853,1.886,32.6827,g
34.889,19.6402,2.8429,0.3747,0.2534,29.9825,29.1531,12.4846,8.376,227.336,g
41.0677,16.2578,2.7308,0.3532,0.1812,47.4405,37.9125,16.1237,17.671,213.317,g
60.0261,12.245,2.8052,0.26,0.1433,3.5656,55.2047,8.5485,1.3841,230.089,g
70.0322,30.2255,3.1573,0.1775,0.0929,-66.4032,48.4611,-24.9966,2.936,294.746,g
74.5714,23.0735,2.9914,0.3182,0.1627,-36.5281,63.076,-12.2594,4.029,363.489,g
77.9219,31.8209,3.7043,0.2059,0.1232,-2.4392,58.1668,-14.371,0.2442,327.992,g
39.1755,26.3821,2.7966,0.345,0.2005,-38.1241,25.4219,17.0574,6.4974,299.173,g
18.1607,10.4502,2.2718,0.6043,0.3289,1.7266,-7.66,-6.3001,43.3661,147.236,g
25.4762,12.0898,2.4048,0.4134,0.2303,7.0323,15.7982,6.2085,24.847,193.349,g
23.4494,16.2843,2.5605,0.4539,0.2655,-8.8017,-15.9867,10.389,83.8081,235.203,g
32.0586,15.6976,2.5072,0.3826,0.2037,-2.3114,-17.7455,-11.3244,12.1807,193.794,g
18.4475,11.7563,2.4074,0.5714,0.4051,-0.0948,-6.5384,11.397,69.2291,219.394,g
41.4001,25.658,3.0414,0.2036,0.1023,39.265,30.5051,-23.3496,0.6344,91.228,g
92.5854,11.2825,3.0071,0.3119,0.1923,-68.649,-48.92,6.7814,2.5099,293.081,g
29.3424,16.1814,2.5496,0.3272,0.165,-51.8263,23.7665,7.7365,39.189,168.084,g
47.8275,18.509,2.747,0.2775,0.1603,28.7838,-29.0817,-7.859,4.798,159.704,g
73.2547,19.5552,2.5545,0.357,0.1939,-44.1258,34.5939,16.6915,23.149,282.616,g
26.0862,12.5473,2.4099,0.4397,0.2354,16.3451,14.9018,5.6343,4.1527,183.852,g
94.2369,17.6341,2.7727,0.297,0.1612,-97.071,50.552,-14.982,1.854,302.219,g
38.1089,15.08,2.3927,0.3887,0.2126,-21.4336,-29.3931,13.3864,13.741,154.264,g
33.5874,17.46,2.5821,0.3979,0.2134,-49.0296,-7.6514,5.127,25.657,166.95,g
50.8293,20.0939,3.3959,0.2162,0.1236,38.7703,41.463,9.3292,3.6565,189.155,g
25.0275,12.8142,2.5391,0.4884,0.3078,-12.5331,-8.9993,12.3285,65.2451,72.7386,g
26.8928,17.7678,2.8439,0.3782,0.2357,-1.6706,-8.159,-15.8111,23.821,109.02,g
28.0883,6.8084,2.2504,0.5899,0.3174,-7.7092,-17.4113,-2.8594,27.549,146.596,g
35.8144,12.3164,2.57,0.393,0.214,17.8018,20.673,-6.2792,23.123,142.372,g
29.3108,14.6309,2.6464,0.4402,0.2223,6.1452,-19.1932,11.3697,24.109,69.2467,g
19.6419,0,2.2,0.795,0.571,-0.5678,5.2697,0,34.817,182.016,g
23.6924,8.8987,2.3181,0.6683,0.4543,23.9812,14.1032,-7.0892,27.014,128.707,g
27.4888,18.5665,2.8639,0.3078,0.1854,2.8405,6.1522,-10.0668,23.5868,188.636,g
117.749,33.2446,3.1921,0.1606,0.0806,98.9071,129.932,-17.914,2.582,188.983,g
26.8971,19.2128,2.7657,0.319,0.1655,-12.9068,4.6154,8.1139,41.065,152.596,g
13.1994,10.8032,2.224,0.7761,0.4209,-14.5262,1.8356,-11.7029,54.0277,181.817,g
25.1576,12.8638,2.4564,0.4615,0.236,-24.1639,11.1073,7.8713,47.777,149.657,g
18.2028,15.8708,2.4526,0.5115,0.2945,18.9639,18.329,5.3072,2.5957,48.9988,g
70.6584,19.8319,3.1041,0.2541,0.1334,-96.9809,52.5046,-12.6086,0.45,288.263,g
101.703,39.5491,3.9457,0.1462,0.077,-157.872,70.4115,22.1504,4.0677,327.251,g
58.1232,23.5601,2.8837,0.1791,0.0922,-49.22,-33.4621,11.5684,20.194,94.0063,g
20.7445,17.3249,2.5916,0.4686,0.2446,11.7553,17.0726,-12.0534,25.7775,91.6373,g
56.2418,16.5703,2.8943,0.2092,0.1103,71.8585,39.648,10.7621,1.574,250.91,g
70.2768,24.5132,3.3917,0.1294,0.0651,83.3498,48.9676,-12.3834,2.9261,233.617,g
81.2317,32.2546,3.7262,0.1694,0.0893,35.5667,66.9446,12.8892,4.155,295.38,g
32.7059,17.1981,2.5804,0.4074,0.2142,46.6935,13.1053,15.3472,40.3711,99.7447,g
42.3725,20.2021,3.2909,0.2533,0.1343,-4.4911,26.362,-11.1395,0.6925,182.477,g
80.3994,14.9183,2.8445,0.3004,0.1581,36.0787,76.0508,-10.599,5.066,272.617,g
25.5688,19.0735,2.2911,0.7161,0.422,16.7068,25.194,-14.8757,74.308,316.47,g
16.9286,11.2814,2.4116,0.5736,0.3314,-1.2345,5.8021,6.0007,18.5125,190.039,g
18.8734,17.772,2.5821,0.4686,0.2579,-14.6576,-16.9343,-14.4939,17.1286,114.938,g
34.1619,21.2966,2.9974,0.2907,0.1554,-4.6579,-11.6112,11.8667,11.6079,163.722,g
30.0005,21.6966,2.934,0.3062,0.1857,23.3297,17.6318,-18.5123,27.943,151.522,g
41.3848,32.4617,2.7938,0.3521,0.1889,-20.4985,28.2927,28.1989,9.628,308.373,g
25.2228,13.6075,2.3738,0.4989,0.2939,-12.181,-12.8844,11.3032,66.649,78.9436,g
21.6891,10.3849,2.316,0.5604,0.2923,5.8526,-17.6826,10.2235,1.5485,232.154,g
20.5839,12.8876,2.4191,0.4724,0.2648,12.5054,12.7741,-8.1001,26.586,199.96,g
25.2091,10.6551,2.3701,0.4989,0.3006,10.6071,21.1038,3.9151,41.563,147.489,g
35.7062,13.2892,2.3664,0.5204,0.329,-32.1031,-25.7479,7.0429,1.2543,201.751,g
62.6886,22.612,3.2496,0.2077,0.1084,-100.913,-25.4533,16.5613,3.121,229.768,g
19.7366,7.3095,2.1383,0.7636,0.4109,-3.5091,10.3719,-4.8598,24.7838,173.073,g
48.4695,18.1279,2.9917,0.2345,0.1177,19.6222,46.8981,-10.5913,6.955,203.072,g
22.5702,0,2.1629,0.7904,0.4021,5.3609,-15.2145,0,80.3449,210.833,g
18.249,10.4383,2.2529,0.6034,0.3156,22.8063,10.1469,5.3027,15.8259,159.544,g
28.4148,13.01,2.4778,0.5923,0.4409,28.2765,20.1871,10.6797,13.6965,136.651,g
47.6,13.413,2.8092,0.2762,0.1497,41.1158,33.8544,8.2134,2.608,178.462,g
33.3528,17.6866,2.7551,0.3796,0.275,15.898,27.6711,-8.487,8.709,196.918,g
97.794,26.8347,3.5327,0.1516,0.077,29.7042,95.3544,12.0158,3.2128,256.435,g
13.1155,10.1083,2.1973,0.8,0.5238,12.3051,7.4928,10.0776,58.845,166.287,g
52.8479,21.5505,2.9462,0.3667,0.2054,-53.2694,27.9502,-20.7681,6.087,309.622,g
40.6097,20.5874,2.9117,0.2304,0.1219,-5.5945,16.0028,-10.1794,0.774,233.346,g
65.6069,33.6033,3.8528,0.1433,0.073,-84.0021,43.5019,-23.9483,0.7567,246.341,g
63.8128,26.2233,3.5143,0.1958,0.1088,44.5465,46.5522,18.3607,1.919,284.652,g
22.5539,9.7776,2.2068,0.559,0.2888,-4.0544,16.5945,10.4839,9.215,236.65,g
59.817,14.838,2.8808,0.3132,0.1678,-110.45,53.9825,12.1712,5.235,289.536,g
27.1044,9.7779,2.4241,0.5198,0.3145,-12.2606,-14.8614,-11.7431,29.844,225.566,g
21.776,12.7202,2.356,0.6344,0.3722,8.4346,15.5208,-9.1862,22.3655,120.076,g
20.6454,6.839,2.2844,0.774,0.4545,20.3461,14.9016,5.7986,2.7533,175.992,g
91.6174,39.9496,4.0942,0.0806,0.0406,-105.167,83.687,32.7482,3.0094,256.828,g
60.8598,18.7033,2.6128,0.2561,0.1378,42.4917,33.7518,12.0692,4.182,146.803,g
35.577,15.0526,2.9805,0.3964,0.2202,15.679,14.3568,4.1406,2.0711,225.707,g
31.6173,24.2115,2.7197,0.2402,0.1268,-23.7309,2.8864,-11.5139,22.951,157.613,g
85.9355,29.9215,3.0755,0.3134,0.1735,-44.0508,-20.0659,-14.117,4.7597,335.983,g
20.0777,12.6181,2.404,0.5286,0.2939,14.1429,15.066,7.8845,36.457,132.889,g
59.6124,30.8693,3.4791,0.1888,0.1113,26.7671,54.7397,-29.0666,1.1057,264.642,g
72.969,19.2006,3.008,0.2749,0.1537,-47.3236,42.1489,-10.2088,4.087,291.175,g
20.7154,7.1982,2.2443,0.7066,0.3618,1.5153,-8.8118,5.9528,88.4999,189.577,g
23.807,10.0712,2.4289,0.5624,0.3184,7.3563,16.856,-7.645,10.378,216.895,g
24.38,17.4654,2.616,0.4915,0.3087,17.1472,19.777,-14.2938,0.8652,256.869,g
36.5237,15.3246,2.4786,0.4252,0.2176,-57.2893,29.2074,-5.1062,12.715,109.517,g
